Service,0.5,5,10,15,20,25,30,35,40,45,50
Clutch free play,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust,Adjust
Clutch no slippage,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect
Clutch Plates,,,,Replace,,,Replace,,,Replace,
Cam Chain / Chain Pads / Auto chain Tensioner,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect&Replace
Inlet / Exhaust valve seating (compression test),,,,,,Inspect,,,,,Inspect
Steering head bearings,Inspect&Adjust,Inspect&Adjust,Lubricate&Adjust,Inspect&Adjust,Lubricate&Adjust,Inspect&Replace,Inspect&Adjust,Lubricate&Adjust,Inspect&Adjust,Lubricate&Adjust,Inspect&Replace
Front Fork oil,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect
Fuel Pipe,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
Battery terminals (apply petroleum jelly),Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean
Earth wire eyelet Tightness,,,Inspect,,Inspect,,Inspect,,Inspect,,Inspect
Hydraulic Brake Fluid - Front & Rear,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Inspect
Hydraulic Brake hose & Washers - Front & Rear,Inspect,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Inspect,Replace,Inspect,Inspect
Brake Pads - Front & Rear,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
Tyrewear pattern (Front & Rear),Inspect,Inspect,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Inspect,Inspect,Replace
Spokes tightness / Wheel rim run out front & rear,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect
Front & Rear wheel bearings for play,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect&Replace,Inspect,Inspect,Inspect,Inspect,Inspect&Replace
Swing arm Pivot bearings,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Lubricate,Inspect&Replace
Rear Suspension Linkages,Inspect,Inspect&Lubricate,Inspect&Lubricate,Inspect&Replace,Inspect&Lubricate,Inspect&Lubricate,Inspect&Replace,Inspect&Lubricate,Inspect&Lubricate,Inspect&Replace,Inspect&Lubricate
Rear Drive Chain,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust,Clean&Lubricate&Adjust
Drive chain & Sprockets set,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
Rear wheel cush drive rubbers,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
All Mounting Fasteners in vehicle for tightness,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect
"Hand levers, side stand, Rider & Pillion foot rest Pivots",Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate,Lubricate
Evaporative Emission Equipment rubber hoses,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect
